,num_expediente,fecha,hora,localizacion,numero,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
1328,2020S009674,10/07/2020,7:30:00,CALL. O'DONNELL / CALL. ANTONIO CASERO,58,RETIRO,Caída,Clear,Bicicleta,Conductor,De 55 a 59 años,Hombre,1.0,40.42044309180368,-3.667377927133227,N,
1329,2020S009691,11/07/2020,22:00:00,CALL. SEGOVIA / RONDA. SEGOVIA,41,ARGANZUELA,Caída,Clear,Bicicleta,Conductor,De 40 a 44 años,Mujer,,40.413682371760025,-3.717276850007147,N,
1330,2020S009705,12/07/2020,4:45:00,"CALL. SANTA ENGRACIA, 7",7,CHAMBERÍ,Caída,Clear,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,7.0,40.428961770828565,-3.6963539044213136,N,
1331,2020S009717,12/07/2020,12:58:00,"CALL. VELAZQUEZ, 38",38,SALAMANCA,Alcance,Clear,Bicicleta,Conductor,De 35 a 39 años,Hombre,7.0,40.42592678133654,-3.6838772979209407,N,
1332,2020S009721,11/07/2020,21:30:00,"CALL. BELLATRIX, 7",7,MONCLOA-ARAVACA,Caída,Clear,Bicicleta EPAC (pedaleo asistido),Conductor,De 21 a 24 años,Mujer,1.0,40.459610867341055,-3.7728690301380614,N,
1333,2020S009740,13/07/2020,8:10:00,CALL. ESTOCOLMO / CALL. MANCHESTER (CARRIL BICI),26L,SAN BLAS-CANILLEJAS,Caída,Clear,Bicicleta,Conductor,De 45 a 49 años,Hombre,6.0,40.42950260123548,-3.60036824514658,N,
1334,2020S009781,14/07/2020,7:40:00,"PASEO. EDUARDO DATO, 15",15,CHAMBERÍ,Alcance,Clear,Bicicleta,Conductor,De 55 a 59 años,Hombre,7.0,40.43300557273378,-3.693909739177203,N,
1335,2020S009818,14/07/2020,16:58:00,"CALL. EMETERIO CASTAÑOS, 1",1,CIUDAD LINEAL,Caída,Clear,Bicicleta,Conductor,De 30 a 34 años,Mujer,5.0,40.46248442138965,-3.663254889628439,N,
1336,2020S009840,07/07/2020,11:00:00,"AVDA. LOS ROSALES, 5",5,USERA,Colisión frontal,Clear,Bicicleta,Conductor,De 50 a 54 años,Hombre,7.0,40.368782012578045,-3.6936348240572583,N,
1337,2020S009848,15/07/2020,12:45:00,CALL. CARTAGENA / CALL. ERASO,41,SALAMANCA,Caída,Clear,Bicicleta EPAC (pedaleo asistido),Conductor,De 40 a 44 años,Hombre,3.0,40.435299538194215,-3.6702113133500744,N,
1338,2020S009855,14/07/2020,20:05:00,"CALL. GOYA, 41",41,SALAMANCA,Alcance,Clear,Bicicleta EPAC (pedaleo asistido),Conductor,De 35 a 39 años,Hombre,6.0,40.42530095808422,-3.683246760560505,N,
